key,freq,freq_pct
"actualité

",3,0.0003886
"msn

",3,0.0003886
dm,3,0.0003886
sms,3,0.0003886
téléviseur,3,0.0003886
téléphones,3,0.0003886
télécharge,3,0.0003886
télécharger,3,0.0003886
sonnerie,3,0.0003886
ipod,3,0.0003886
ordinateur,3,0.0003886
web,3,0.0003886
sites,3,0.0003886
pirates,3,0.0003886
3g,3,0.0003886
électro,3,0.0003886
systeme,3,0.0003886
sony,3,0.0003886
cassette,3,0.0003886
disc,3,0.0003886
enregistrement,3,0.0003886
fnac,3,0.0003886
journaliste,3,0.0003886
journalistes,3,0.0003886
information,3,0.0003886
informe,3,0.0003886
informer,3,0.0003886
jt,3,0.0003886
games,3,0.0003886
"postes

",2,0.000259067
post,2,0.000259067
"riposter

",2,0.000259067
"posterai

",2,0.000259067
"tags

",2,0.000259067
"insta

",2,0.000259067
"influences

",2,0.000259067
"percée

",2,0.000259067
"streams

",2,0.000259067
"selfie

",2,0.000259067
"likes

",2,0.000259067
"unfollow

",2,0.000259067
"followers

",2,0.000259067
"forum

",2,0.000259067
"buzze

",2,0.000259067
"buzzent

",2,0.000259067
"partagent

",2,0.000259067
"écrans

",2,0.000259067
"bluray

",2,0.000259067
"cinématographique

",2,0.000259067
"smiley

",2,0.000259067
communiquée,2,0.000259067
télévisées,2,0.000259067
téléspectateurs,2,0.000259067
phone-télé,2,0.000259067
téléphonais,2,0.000259067
portables,2,0.000259067
laptop,2,0.000259067
ipods,2,0.000259067
apple,2,0.000259067
5g,2,0.000259067
connexions,2,0.000259067
electro,2,0.000259067
électroniques,2,0.000259067
digitale,2,0.000259067
virtuel,2,0.000259067
microphonique,2,0.000259067
cassettes,2,0.000259067
cds,2,0.000259067
haut-parleurs,2,0.000259067
haut-parleur,2,0.000259067
enregistré,2,0.000259067
dj's,2,0.000259067
vinyles,2,0.000259067
ebay,2,0.000259067
sondage,2,0.000259067
sondages,2,0.000259067
informations,2,0.000259067
nintendo,2,0.000259067
tetris,2,0.000259067
pokémon,2,0.000259067
nova,2,0.000259067
tv,2,0.000259067
médiatique,2,0.000259067
obs,2,0.000259067
revue,2,0.000259067
"taguerai

",1,0.000129533
"tinder

",1,0.000129533
"swipe

",1,0.000129533
"twitter

",1,0.000129533
"tweeté

",1,0.000129533
"storys

",1,0.000129533
"storyline

",1,0.000129533
"stories

",1,0.000129533
"youtuber

",1,0.000129533
"percées

",1,0.000129533
"perceras

",1,0.000129533
"streaming

",1,0.000129533
"snapchat

",1,0.000129533
"snaps

",1,0.000129533
"geeker

",1,0.000129533
"likent

",1,0.000129533
"partagées

",1,0.000129533
"partagés

",1,0.000129533
"partages

",1,0.000129533
"partageons

",1,0.000129533
"publié

",1,0.000129533
"publie

",1,0.000129533
"filmés

",1,0.000129533
"filmeras

",1,0.000129533
"filment

",1,0.000129533
"filmaient

",1,0.000129533
cinés,1,0.000129533
cinémas,1,0.000129533
e-mail,1,0.000129533
télécommunications,1,0.000129533
communique,1,0.000129533
communiques,1,0.000129533
communiquent,1,0.000129533
téléphonique,1,0.000129533
téléphoniques,1,0.000129533
téléphonées,1,0.000129533
télévisée,1,0.000129533
téléviseurs,1,0.000129533
télémarketing,1,0.000129533
téléchargent,1,0.000129533
télévisé,1,0.000129533
sonneries,1,0.000129533
caméramans,1,0.000129533
phonetel,1,0.000129533
dictaphone,1,0.000129533
iphones,1,0.000129533
crophone-mi,1,0.000129533
visiophone,1,0.000129533
macbook,1,0.000129533
imac,1,0.000129533
i-pod,1,0.000129533
ordi,1,0.000129533
sextapes,1,0.000129533
cyberdruide,1,0.000129533
cybercriminel,1,0.000129533
pirater,1,0.000129533
piraterie,1,0.000129533
skyblog,1,0.000129533
clique-clique,1,0.000129533
4g,1,0.000129533
wifi,1,0.000129533
siri,1,0.000129533
electronique,1,0.000129533
electrique,1,0.000129533
pixels,1,0.000129533
pixel,1,0.000129533
adsl,1,0.000129533
déprogrammeront,1,0.000129533
programmateur,1,0.000129533
programmée,1,0.000129533
programment,1,0.000129533
programmes,1,0.000129533
programmés,1,0.000129533
programmées,1,0.000129533
digital,1,0.000129533
décodeur,1,0.000129533
digicode,1,0.000129533
décoder,1,0.000129533
virtuelle,1,0.000129533
syst?mes,1,0.000129533
photographes,1,0.000129533
photographier,1,0.000129533
photographié,1,0.000129533
photographique,1,0.000129533
photographe,1,0.000129533
photographies,1,0.000129533
portraits-photos,1,0.000129533
photocop',1,0.000129533
claviers,1,0.000129533
deezer,1,0.000129533
microsoft,1,0.000129533
supermicro,1,0.000129533
samsung,1,0.000129533
serveurs,1,0.000129533
serveur,1,0.000129533
tourne-disque,1,0.000129533
walkman,1,0.000129533
minidisc,1,0.000129533
cd-rom,1,0.000129533
enregistrez,1,0.000129533
lp,1,0.000129533
vinyl,1,0.000129533
vinyls,1,0.000129533
informé,1,0.000129533
désinforment,1,0.000129533
mario,1,0.000129533
xbox,1,0.000129533
gameboy,1,0.000129533
gamecube,1,0.000129533
nrj,1,0.000129533
mtv,1,0.000129533
lci,1,0.000129533
figaro,1,0.000129533
média,1,0.000129533
anti-médias,1,0.000129533
