,key,freq,freq_pct
12017,tf1,3,0.000449598
12182,informe,3,0.000449598
12282,cassette,3,0.000449598
12559,sonnerie,3,0.000449598
12611,tag,3,0.000449598
12665,fnac,3,0.000449598
12868,journalistes,3,0.000449598
13012,sites,3,0.000449598
13601,téléviseur,2,0.000299732
13770,microphonique,2,0.000299732
13918,5g,2,0.000299732
14095,connexions,2,0.000299732
14111,enregistrement,2,0.000299732
14375,communiquée,2,0.000299732
14402,téléspectateurs,2,0.000299732
14435,téléphones,2,0.000299732
14440,games,2,0.000299732
14509,disc,2,0.000299732
14539,haut-parleurs,2,0.000299732
14566,nova,2,0.000299732
14712,dj's,2,0.000299732
14751,revue,2,0.000299732
15249,informations,2,0.000299732
15250,laptop,2,0.000299732
15280,ebay,2,0.000299732
15377,enregistré,2,0.000299732
15529,cds,2,0.000299732
15630,pokémon,2,0.000299732
15649,sextape,2,0.000299732
15908,phone-télé,2,0.000299732
16405,apple,2,0.000299732
16474,télécharge,2,0.000299732
16819,cassettes,2,0.000299732
16913,téléphonais,2,0.000299732
17187,haut-parleur,2,0.000299732
17245,médiatique,2,0.000299732
17767,nintendo,2,0.000299732
18007,tetris,2,0.000299732
18043,obs,2,0.000299732
18438,informer,2,0.000299732
18577,télécharger,2,0.000299732
19025,electro,2,0.000299732
19154,vinyles,2,0.000299732
19164,portables,2,0.000299732
19210,sondages,2,0.000299732
20353,serveurs,1,0.000149866
20564,télévisées,1,0.000149866
20649,deezer,1,0.000149866
20726,téléphonique,1,0.000149866
20741,déprogrammeront,1,0.000149866
20884,téléphoniques,1,0.000149866
21156,e-mail,1,0.000149866
21232,électroniques,1,0.000149866
21268,ipods,1,0.000149866
21301,sondage,1,0.000149866
21470,caméramans,1,0.000149866
21709,lp,1,0.000149866
21752,macbook,1,0.000149866
21763,electronique,1,0.000149866
21987,vinyl,1,0.000149866
22118,cyberdruide,1,0.000149866
22137,microsoft,1,0.000149866
22142,web,1,0.000149866
22401,téléphonées,1,0.000149866
22452,gameboy,1,0.000149866
22615,décodeur,1,0.000149866
22820,programmateur,1,0.000149866
23132,jt,1,0.000149866
23255,virtuelle,1,0.000149866
23266,télévisée,1,0.000149866
23493,téléviseurs,1,0.000149866
23625,enregistrez,1,0.000149866
23628,phonetel,1,0.000149866
24064,supermicro,1,0.000149866
24217,cd-rom,1,0.000149866
24736,adsl,1,0.000149866
24791,tv,1,0.000149866
24920,journaliste,1,0.000149866
25024,xbox,1,0.000149866
25064,ordi,1,0.000149866
25195,virtuel,1,0.000149866
25352,nrj,1,0.000149866
25523,média,1,0.000149866
26048,photographes,1,0.000149866
26653,photographier,1,0.000149866
26808,pixels,1,0.000149866
27054,dictaphone,1,0.000149866
28406,walkmans,1,0.000149866
28536,photographié,1,0.000149866
29933,cinés,1,0.000149866
30070,digitale,1,0.000149866
30221,désinforment,1,0.000149866
30364,mario,1,0.000149866
30418,tourne-disque,1,0.000149866
30497,digital,1,0.000149866
30564,minidisc,1,0.000149866
30695,samsung,1,0.000149866
30703,wifi,1,0.000149866
30960,siri,1,0.000149866
31473,communique,1,0.000149866
31674,serveur,1,0.000149866
31697,iphones,1,0.000149866
31718,télémarketing,1,0.000149866
32136,skyblog,1,0.000149866
32646,mtv,1,0.000149866
32866,digicode,1,0.000149866
33069,téléchargent,1,0.000149866
33334,imac,1,0.000149866
33422,télécommunications,1,0.000149866
33593,programmée,1,0.000149866
33827,communiques,1,0.000149866
33904,décoder,1,0.000149866
34036,cybercriminel,1,0.000149866
34183,lci,1,0.000149866
34722,crophone-mi,1,0.000149866
34781,cinémas,1,0.000149866
34982,pixel,1,0.000149866
35121,anti-médias,1,0.000149866
35215,vinyls,1,0.000149866
35380,télévisé,1,0.000149866
35428,sonneries,1,0.000149866
35455,programment,1,0.000149866
35668,programmes,1,0.000149866
35738,i-pod,1,0.000149866
35847,4g,1,0.000149866
35883,walkman,1,0.000149866
35955,photographique,1,0.000149866
36203,piraterie,1,0.000149866
36340,gamecube,1,0.000149866
36459,photographe,1,0.000149866
36709,programmés,1,0.000149866
36726,electrique,1,0.000149866
36944,photographies,1,0.000149866
36955,portraits-photos,1,0.000149866
37205,photocop',1,0.000149866
37376,visiophone,1,0.000149866
37652,informé,1,0.000149866
37654,programmées,1,0.000149866
37753,figaro,1,0.000149866
38216,clique-clique,1,0.000149866
38388,pirater,1,0.000149866
38665,sextapes,1,0.000149866
38724,communiquent,1,0.000149866
